Score,Sentiment,Text,Clean_Text
2,Negative,I have recently noticed that the last few months of Trio snacks received are stale and more brittle than usual. I am told that this product is made in China which concerns me.<br /><br />I cannot find madatory expiration dates on the box which causes me even greater concern. I hope Amazon is reviewing their food products prior to shipping.,i have recently noticed that the last few months of trio snacks received are stale and more brittle than usual i am told that this product is made in china which concerns me  i cannot find madatory expiration dates on the box which causes me even greater concern i hope amazon is reviewing their food products prior to shipping
5,Positive,I was worried after ordering this product since so many reviews complained about dented cans but I ordered when the price was right and took the chance. Out of 12 cans only one was dented. The expiration date on the cans I received: 2014. Very happy with the quality of this pumpkin.,i was worried after ordering this product since so many reviews complained about dented cans but i ordered when the price was right and took the chance out of  cans only one was dented the expiration date on the cans i received  very happy with the quality of this pumpkin
5,Positive,My kitten loves this food.  It was the food that she had when she was at the shelter and my vet carries the Hill Science Diet Line for both dogs and cats.  She rushes to her bowl when she hears the dry kitten food falling into her bowl.,my kitten loves this food  it was the food that she had when she was at the shelter and my vet carries the hill science diet line for both dogs and cats  she rushes to her bowl when she hears the dry kitten food falling into her bowl
1,Negative,"I ve had this exact kind a ton of times at my local deli and love their taste, figured i d save a bunch by getting a box of 24 delivered to my desk at work. Unfortunately, I think they unloaded their oldest/worst batch on me. The chips tasted stale, leached out a ton of oil ( I m not kidding, felt like I was eating pizza given how much oil i was leaching out with a napkin from each individual chip!) and the taste was just off. I think with all the oil that leached out, it upset the flavor balance of the chip and now they just taste really salty and stale.<br /><br />Tried 3 different bags, and it was the same in each case (couldnt eat more than a couple of chips, they were that bad). Got in touch with Amazon customer care, and they were kind enough to get me a refund, but i recommend that you save yourself the hassle and give these a miss.",i ve had this exact kind a ton of times at my local deli and love their taste figured i d save a bunch by getting a box of  delivered to my desk at work unfortunately i think they unloaded their oldestworst batch on me the chips tasted stale leached out a ton of oil  i m not kidding felt like i was eating pizza given how much oil i was leaching out with a napkin from each individual chip and the taste was just off i think with all the oil that leached out it upset the flavor balance of the chip and now they just taste really salty and stale  tried  different bags and it was the same in each case couldnt eat more than a couple of chips they were that bad got in touch with amazon customer care and they were kind enough to get me a refund but i recommend that you save yourself the hassle and give these a miss
1,Negative,"Without a list of ingredients, I can't buy this product.  There is no way to contact the buyer.  It's kind of scary.",without a list of ingredients i cant buy this product  there is no way to contact the buyer  its kind of scary
1,Negative,"I love Weruva for my dogs, let me say that up front. I ordered 2 cases of this food, and out of 24 cans FIVE were usable. The rest were so badly dented that they were opened and molded. When I tried to return it, I found that This food has a NO RETURN policy. I ended up paying more than $10.00 a can for those 5 cans. NOT ACCEPTABLE. I have been ordering my dog food through Amazon for some time, and this shipping problem is getting worse. Much of the product arrives dented, but unopened. Instead of throwing money away like this, I will pay a little more and pick it up myself! Buyers, please be aware of this NO RETURN policy!!!!",i love weruva for my dogs let me say that up front i ordered  cases of this food and out of  cans five were usable the rest were so badly dented that they were opened and molded when i tried to return it i found that this food has a no return policy i ended up paying more than  a can for those  cans not acceptable i have been ordering my dog food through amazon for some time and this shipping problem is getting worse much of the product arrives dented but unopened instead of throwing money away like this i will pay a little more and pick it up myself buyers please be aware of this no return policy
4,Positive,We ordered these berries as accompaniment with Swedish pancakes for a school project World Cultures Fair.  They are similar to red currants with a stiffer skin.  We have never had them before so I cannot compare to other brands.  The delivery of the product was very quick; we thank you.,we ordered these berries as accompaniment with swedish pancakes for a school project world cultures fair  they are similar to red currants with a stiffer skin  we have never had them before so i cannot compare to other brands  the delivery of the product was very quick we thank you
3,Neutral,"These nuts are great and have the best price anywhere. I keep the used containers for storing all sorts of stuff. Laundry detergent, ice melt, coffee, cereal etc. The wide mouth jar lid is easy to spin on and off.",these nuts are great and have the best price anywhere i keep the used containers for storing all sorts of stuff laundry detergent ice melt coffee cereal etc the wide mouth jar lid is easy to spin on and off
5,Positive,"After pricing out different places to purchase this coffee as a gift, we realized that Amazon was able to provide us with so many K-Cup options but we love Green Mountain it has great flavor for a morning or evening cup. Enjoy!! You will Not be disappointed in this purchase!!",after pricing out different places to purchase this coffee as a gift we realized that amazon was able to provide us with so many kcup options but we love green mountain it has great flavor for a morning or evening cup enjoy you will not be disappointed in this purchase
4,Positive,"I would actually rate this a 3 1/2.  Taste like Bit o' Honey or Mary Jane candy.  Stickier than peanut butter.  I use it on a toasted English muffin.  It is good for this purpose b/c the warmth of the toasted muffin makes this spreadable.  It is not really spreadable enough to use for sandwiches.  I will buy again, but wouldn't buy in bulk.",i would actually rate this a    taste like bit o honey or mary jane candy  stickier than peanut butter  i use it on a toasted english muffin  it is good for this purpose bc the warmth of the toasted muffin makes this spreadable  it is not really spreadable enough to use for sandwiches  i will buy again but wouldnt buy in bulk
5,Positive,"I have tried many brands of medium roast coffees however, this is my favorite. Some I've tried are bitter; some are too light; some are too strong; but this one for me is just right! Some brands more than others come in all puffed up and when punctured, the grounds filter out into the needle of the Keurig coffee maker and has to be cleaned which isn't difficult, just annoying. Never had a problem with these.  Breakfast in Bed k-cups are smooth, not too light and not too strong, right smack in the midddle. No bitter after taste either and perfect any time of day. Enjoy!",i have tried many brands of medium roast coffees however this is my favorite some ive tried are bitter some are too light some are too strong but this one for me is just right some brands more than others come in all puffed up and when punctured the grounds filter out into the needle of the keurig coffee maker and has to be cleaned which isnt difficult just annoying never had a problem with these  breakfast in bed kcups are smooth not too light and not too strong right smack in the midddle no bitter after taste either and perfect any time of day enjoy
4,Positive,"Does it taste good? Yes. If you like the taste and texture of coconut butter, you will most certainly like this product.<br /><br />Does it spread nicely? Well, that depends on where you live and how patient you are. In cold weather this is a royal pain to use because the oil separates and hardens at temperatures below 76 F. The instructions on the label say to place the container in hot water for 5 to 10 minutes to soften the manna. Well, in my kitchen (room temperature about 70 F) it took almost a half hour for this thing to melt.<br /><br />I placed the jar inside a stainless steel saucepan filled with hot water that must have been at least 180 F. After 5 minutes the water had cooled quite a bit and yet the oil had not even started to melt. I used a blunt knife to try and break the manna into pieces. Did the same thing two more times. Finally, the fourth water change did the trick and the manna now had acquired a nice consistency, perfect for spreading, but at that point I was not a very happy camper.<br /><br />I wanted to use this as a breakfast spread and that's not going to happen, at least not during the week. I just don't have the time nor the patience. It just takes too long.<br /><br />I buy natural organic peanut butter, which also must be mixed well for the oil to combine, but I only have to do that once so I don't mind at all. With this manna it's an everyday event.<br /><br />I ordered two jars, one of them will live in my pantry until next summer, and we'll treat coconut manna as a warm weather food, I guess.<br /><br />This is a very nice tasting coconut product, which I would have rated 5 stars otherwise. Certainly worth a try, if you happen to keep your house above 75 F year round.",does it taste good yes if you like the taste and texture of coconut butter you will most certainly like this product  does it spread nicely well that depends on where you live and how patient you are in cold weather this is a royal pain to use because the oil separates and hardens at temperatures below  f the instructions on the label say to place the container in hot water for  to  minutes to soften the manna well in my kitchen room temperature about  f it took almost a half hour for this thing to melt  i placed the jar inside a stainless steel saucepan filled with hot water that must have been at least  f after  minutes the water had cooled quite a bit and yet the oil had not even started to melt i used a blunt knife to try and break the manna into pieces did the same thing two more times finally the fourth water change did the trick and the manna now had acquired a nice consistency perfect for spreading but at that point i was not a very happy camper  i wanted to use this as a breakfast spread and thats not going to happen at least not during the week i just dont have the time nor the patience it just takes too long  i buy natural organic peanut butter which also must be mixed well for the oil to combine but i only have to do that once so i dont mind at all with this manna its an everyday event  i ordered two jars one of them will live in my pantry until next summer and well treat coconut manna as a warm weather food i guess  this is a very nice tasting coconut product which i would have rated  stars otherwise certainly worth a try if you happen to keep your house above  f year round
3,Neutral,"I like Stevita products and these are no exception. You don't have to worry about the ingredients, because everything is natural and there are no surprises here. The taste is good, albeit a little weak compared to similar ""Aspartame"" flavored products. However, when you do the math, you are paying approximately 70 cents per packet and this doesn't even include the price of the water. If you still want an all-natural drink mix that is less expensive, take a look at the True Lemon Raspberry Lemonade. The product link is below.<br /><br /><a href=""http://www.amazon.com/gp/product/B004XG2H94"">True Lemon Raspberry Lemonade Drink Mix, 10-count (Pack of 6)</a>",i like stevita products and these are no exception you dont have to worry about the ingredients because everything is natural and there are no surprises here the taste is good albeit a little weak compared to similar aspartame flavored products however when you do the math you are paying approximately  cents per packet and this doesnt even include the price of the water if you still want an allnatural drink mix that is less expensive take a look at the true lemon raspberry lemonade the product link is below   true lemon raspberry lemonade drink mix count pack of  
5,Positive,"I have always loved these since my childhood. But until recently I have never been able to find them. Thank God for Amazon!Satellite Wafers are great conversation starters also.I just have 1 big problem with them, you can't eat just one!",i have always loved these since my childhood but until recently i have never been able to find them thank god for amazonsatellite wafers are great conversation starters alsoi just have  big problem with them you cant eat just one
5,Positive,"I just did a test run for a work party and I sampled raspberries, strawberries, lemons, limes, Tabasco sauce, goats cheese, beer, orange juice, and yogurt. First off, the lemon was the best tasting example of fruit I have ever had in my life. I wanted to eat the whole thing. The rest of the fruits tasted delicious. The unsweetened yogurt was good, the orange juice amazing, and the beer much sweeter. The goats cheese didnt taste that yummy to me and the tabasco sauce didnt have a noticeable change in flavor. Over all, a very fun and effective flavor changing experience!",i just did a test run for a work party and i sampled raspberries strawberries lemons limes tabasco sauce goats cheese beer orange juice and yogurt first off the lemon was the best tasting example of fruit i have ever had in my life i wanted to eat the whole thing the rest of the fruits tasted delicious the unsweetened yogurt was good the orange juice amazing and the beer much sweeter the goats cheese didnt taste that yummy to me and the tabasco sauce didnt have a noticeable change in flavor over all a very fun and effective flavor changing experience
5,Positive,I stopped eating oreo cookies about twenty years ago or more. These are very good. All the organics and lack of assorted chemicals like High Fructose Corn Syrup and more make them safe to share with the children.,i stopped eating oreo cookies about twenty years ago or more these are very good all the organics and lack of assorted chemicals like high fructose corn syrup and more make them safe to share with the children
5,Positive,"These Chocoperfection bars taste so good, you'll never believe they are good for you!  I get these at my local Jimbo's for $3.85each but am hoping they will be available from Amazon soon!  What a delicious way to g35 14grams of fiber!<br /><br />Instead of sugar, Chocoperfection uses erythritol which has 95% fewer calories than sugar, 93% fewer than maltitol, and no effect on insulin levels, and oligofructose, a sweet tasting dietary fiber made primarily from chicory (not the same as fructose).<br /><br />These silky-smooth, delicious chocolate bars actually help you lose weight because the high fiber content and the high fiber content also acts as an appetite suppressant.<br /><br />And unlike maltitol-sweetened chocolate, ChocoPerfection bars will never upset your stomach, give you gas, make you bloat, or stall your weight loss.  Chocolate Perfect!<br /><br />On top of all that, Chocoperfection is diabetic-safe and tooth-freindly, too.  What more could you ask of a chocolate bar?<br /><br />What is erythritol?<br /><br />Like xylitol, erythritol is a polyol or sometimes called a sugar-alcohol (although none of them contain sugar or alcohol,) and has some of the cavity-fighting similarities.<br /><br />Xylitol is as sweet as sugar and has about 2/3 the calories.<br /><br />Erythritol, on the other hand, is about 70% as sweet as sugar and and almost zero calories.  Plus it is better tolerated by most people<br /><br />with less gastronomical or laxative reactions.  By the way, XylitolNow sells erythritol in bulk on the main product page.<br /><br />Being only 70% as sweet as sugar, erythritol sometimes needs a little help in the sweetness department. In the case of these bars, that's where oligofrutose comes in.<br /><br />What is oligofructose?<br /><br />Oligofructose<br />From Wikipedia, the free encyclopedia<br /><br />Oligofructose, sometimes called Fructooligosaccharide or just  (FOS), is a subgroup of inulin, specifically those fructose polymers with a degree of polymerization (DP) &lt;= 10. Unlike most carbohydrates, it is not digested in the human small intestine and thus has a lower calorific value, whilst contributing to dietary fiber. Oligofructose is on the more soluble side, due to its lower chain length, than the general class of inulins and is therefore commonly used as an additive to yoghurt and other dairy products. It is used specially in combination with high-intensity artificial sweeteners, whose sweetness profile and aftertaste it improves. Oligofructose is also a prebiotic stimulating the growth of bifidobacteria in particular.<br /><br />Food Sources<br />FOS is extracted from fruits and vegetables like bananas, onions, chicory root, garlic, asparagus, barley, wheat, and tomatoes. The Jerusalem Artichoke has been found to have one of the highest concentrations of FOS. (In the case of Chocoperfection, the oligofructose is extracted from chicory root.)<br /><br />Health Benefits<br />FOS has been a popular dietary supplement in Japan for many years and is now becoming increasingly popular in Western cultures for its prebiotic effects. FOS serves as ""fast food"" for the probiotic beneficial or ""friendly"" bacteria that naturally populate the gut, increasing their ability to benefit overall Gastrointestinal Tract (GI Tract) health, especially proper digestion. It has also been touted as a supplement for preventing yeast infections.<br /><br />And this from Steggall Nutrition:<br /><br />Oligofructose is a tremendous substrate for bifidus bacteria, stimulating its activity by several hundred percent. This is called prebiotic activity, referring to stimulation of health promoting bacteria in the intestinal tract. Short chain fatty acids are produced, lowering pH levels and providing an energy source for the growth and maintenance of large intestine cells. This process leads to differentiation of cancer cells, a vital step that is required before cancer cells can be killed.<br /><br />The ideal environment for healthy bacteria is quite different to the environment preferred by pathogens and gram negative putrefactive bacteria. Consequently the undesirable bacteria diminish in number as the healthy bacteria proliferate in the presence of oligofructose.",these chocoperfection bars taste so good youll never believe they are good for you  i get these at my local jimbos for each but am hoping they will be available from amazon soon  what a delicious way to g grams of fiber  instead of sugar chocoperfection uses erythritol which has  fewer calories than sugar  fewer than maltitol and no effect on insulin levels and oligofructose a sweet tasting dietary fiber made primarily from chicory not the same as fructose  these silkysmooth delicious chocolate bars actually help you lose weight because the high fiber content and the high fiber content also acts as an appetite suppressant  and unlike maltitolsweetened chocolate chocoperfection bars will never upset your stomach give you gas make you bloat or stall your weight loss  chocolate perfect  on top of all that chocoperfection is diabeticsafe and toothfreindly too  what more could you ask of a chocolate bar  what is erythritol  like xylitol erythritol is a polyol or sometimes called a sugaralcohol although none of them contain sugar or alcohol and has some of the cavityfighting similarities  xylitol is as sweet as sugar and has about  the calories  erythritol on the other hand is about  as sweet as sugar and and almost zero calories  plus it is better tolerated by most people  with less gastronomical or laxative reactions  by the way xylitolnow sells erythritol in bulk on the main product page  being only  as sweet as sugar erythritol sometimes needs a little help in the sweetness department in the case of these bars thats where oligofrutose comes in  what is oligofructose  oligofructose from wikipedia the free encyclopedia  oligofructose sometimes called fructooligosaccharide or just  fos is a subgroup of inulin specifically those fructose polymers with a degree of polymerization dp lt  unlike most carbohydrates it is not digested in the human small intestine and thus has a lower calorific value whilst contributing to dietary fiber oligofructose is on the more soluble side due to its lower chain length than the general class of inulins and is therefore commonly used as an additive to yoghurt and other dairy products it is used specially in combination with highintensity artificial sweeteners whose sweetness profile and aftertaste it improves oligofructose is also a prebiotic stimulating the growth of bifidobacteria in particular  food sources fos is extracted from fruits and vegetables like bananas onions chicory root garlic asparagus barley wheat and tomatoes the jerusalem artichoke has been found to have one of the highest concentrations of fos in the case of chocoperfection the oligofructose is extracted from chicory root  health benefits fos has been a popular dietary supplement in japan for many years and is now becoming increasingly popular in western cultures for its prebiotic effects fos serves as fast food for the probiotic beneficial or friendly bacteria that naturally populate the gut increasing their ability to benefit overall gastrointestinal tract gi tract health especially proper digestion it has also been touted as a supplement for preventing yeast infections  and this from steggall nutrition  oligofructose is a tremendous substrate for bifidus bacteria stimulating its activity by several hundred percent this is called prebiotic activity referring to stimulation of health promoting bacteria in the intestinal tract short chain fatty acids are produced lowering ph levels and providing an energy source for the growth and maintenance of large intestine cells this process leads to differentiation of cancer cells a vital step that is required before cancer cells can be killed  the ideal environment for healthy bacteria is quite different to the environment preferred by pathogens and gram negative putrefactive bacteria consequently the undesirable bacteria diminish in number as the healthy bacteria proliferate in the presence of oligofructose
5,Positive,Paella and rissotto makers breath wasy. This product is grown in America and stands up very well against expensive imports. I love it and buy it in 50 lb bags and store excess in small freezer bags and freeze to protect from bugs.,paella and rissotto makers breath wasy this product is grown in america and stands up very well against expensive imports i love it and buy it in  lb bags and store excess in small freezer bags and freeze to protect from bugs
5,Positive,This is a really great tasting cat food I presume because my two cats eat it all up. Great product at a great price. What more could you ask.,this is a really great tasting cat food i presume because my two cats eat it all up great product at a great price what more could you ask
1,Negative,"I only bought this because the breeder where I bought my cat said she wouldn't eat anything else. I'm surprised my cat didn't starve to death, because she wouldn't touch this stuff, nor would my other cat. I donated it to the Humane Society.",i only bought this because the breeder where i bought my cat said she wouldnt eat anything else im surprised my cat didnt starve to death because she wouldnt touch this stuff nor would my other cat i donated it to the humane society
3,Neutral,"The first thing that I noticed is that the jar is LITTLE.  There are 13 servings per jar.  The fragrance is like a good old cherry kid's drink, and the flavor is pretty good.  All stevia products have some aftertaste (IMO), but this is pretty good- I drink it with a lot of ice, and that helps.  I'm not sure I'd drink it daily, but for a nice reprieve from plain water (I can't drink artificial sweeteners, so most sugar-free drinks are out), it's nice.  I like the TrueLemon products better, but for a plain cherry flavor, this is OK.<br /><br />EDIT- 7/22/2012<br /><br />The aftertaste is significant....probably will not reorder.  :(",the first thing that i noticed is that the jar is little  there are  servings per jar  the fragrance is like a good old cherry kids drink and the flavor is pretty good  all stevia products have some aftertaste imo but this is pretty good i drink it with a lot of ice and that helps  im not sure id drink it daily but for a nice reprieve from plain water i cant drink artificial sweeteners so most sugarfree drinks are out its nice  i like the truelemon products better but for a plain cherry flavor this is ok  edit   the aftertaste is significantprobably will not reorder  
5,Positive,"I have a four month old st Bernard puppy and have always fed him and my 6 year old German shep hill science.  I did some research and found out how awful that stuff is.  I always thought expensive meant good.  Even my picky gs eats this with no canned dog food or any other incentive.  Of course the puppy will eat anything, and everything, lol,but his coat is beautiful and I have not had any digestion problems.  I love that it is USDA grade meat and no corn.  Corn can kill st bernards.  All this for just a couple bucks more than hills science.  Love the fact that I can feed both dogs same food on the all stages kind.",i have a four month old st bernard puppy and have always fed him and my  year old german shep hill science  i did some research and found out how awful that stuff is  i always thought expensive meant good  even my picky gs eats this with no canned dog food or any other incentive  of course the puppy will eat anything and everything lolbut his coat is beautiful and i have not had any digestion problems  i love that it is usda grade meat and no corn  corn can kill st bernards  all this for just a couple bucks more than hills science  love the fact that i can feed both dogs same food on the all stages kind
1,Negative,"The cider is overly sweet and has a weird after taste, I'm guessing from the artificial sugar.  I couldn't really distinguish any apple taste.  A better alternative is Green Mountain Naturals Hot Apple Cider.  This was a waste of money for me",the cider is overly sweet and has a weird after taste im guessing from the artificial sugar  i couldnt really distinguish any apple taste  a better alternative is green mountain naturals hot apple cider  this was a waste of money for me
5,Positive,"I bought this dog food after my twelve year old pit/hound mix stopped eating another major brand. He scarfs this up like it was a bowl of beef liver. The food is processed into small pellets about the size of a slightly flattened green pea which mixes thoroughly and easily with canned dog food, a bit of scrambled egg or a splash of chicken broth. However, our pooch seems to like it dry almost as much as mixed with other protein. Even the cats will nibble on any leftover bits during the day. Amazon offers a reasonable price and combined with Prime free shipping this provides a convenient alternative to hauling heavy bags of dog food home from the grocery store.",i bought this dog food after my twelve year old pithound mix stopped eating another major brand he scarfs this up like it was a bowl of beef liver the food is processed into small pellets about the size of a slightly flattened green pea which mixes thoroughly and easily with canned dog food a bit of scrambled egg or a splash of chicken broth however our pooch seems to like it dry almost as much as mixed with other protein even the cats will nibble on any leftover bits during the day amazon offers a reasonable price and combined with prime free shipping this provides a convenient alternative to hauling heavy bags of dog food home from the grocery store
4,Positive,"I served this Essentia water to my family at dinner tonight. My husband says it tastes like water. My son and I did a taste test between the filtered tap water from our fridge and Essentia. Neither of us could tell the difference. My daughter says Essentia has an aftertaste and refused to finish her cup. I'm not sure if she was imagining things or not.<br /><br />Overall, I don't think the flavor distinguishes Essentia from other bottled water. If you are looking for alkaline water that tastes like water, this will work just fine.",i served this essentia water to my family at dinner tonight my husband says it tastes like water my son and i did a taste test between the filtered tap water from our fridge and essentia neither of us could tell the difference my daughter says essentia has an aftertaste and refused to finish her cup im not sure if she was imagining things or not  overall i dont think the flavor distinguishes essentia from other bottled water if you are looking for alkaline water that tastes like water this will work just fine
5,Positive,"None of that super-sugared [candied] dried fruit or flat tasting candy [e.g., chocolate] chips to mess up a yummy, but healthy snack. Don't get me wrong, I LOVE chocolate--the darker the better--but what they put in trail mixes is worse than nothing. If I want candy, I'll buy the good stuff.<br /><br />Thanks, Amazon. My local market no longer carries it.",none of that supersugared candied dried fruit or flat tasting candy eg chocolate chips to mess up a yummy but healthy snack dont get me wrong i love chocolatethe darker the betterbut what they put in trail mixes is worse than nothing if i want candy ill buy the good stuff  thanks amazon my local market no longer carries it
5,Positive,Excellent price for very good coffee. We enjoy it. It does leave a little fine grounds in the bottom of your though.,excellent price for very good coffee we enjoy it it does leave a little fine grounds in the bottom of your though
5,Positive,"These chips are more expensive in the store, when you can even find them.  I have ordered them from Amazon a few times and have received them in good condition every time.  Amazon has a great return policy if you ever have a problem with the contents on receipt.",these chips are more expensive in the store when you can even find them  i have ordered them from amazon a few times and have received them in good condition every time  amazon has a great return policy if you ever have a problem with the contents on receipt
1,Negative,"I bought these for my two small dogs. A day after they had them,both acted ""off"" ,they refused to eat their canned dog food(Wellness).The only thing different in their daily schedule was the Petrodex Dental Chews. I read the label,it states ""wash hands after handling"". If there is something so toxic in these chews that I must wash my hands after handling,I sure do not want my dogs chewing and eating them.They are in the garbage.If I could have awarded zero stars,I would have.I am going to stick to the Breath Brushers made by Zuke's. Pricier,but worth it to me.",i bought these for my two small dogs a day after they had themboth acted off they refused to eat their canned dog foodwellnessthe only thing different in their daily schedule was the petrodex dental chews i read the labelit states wash hands after handling if there is something so toxic in these chews that i must wash my hands after handlingi sure do not want my dogs chewing and eating themthey are in the garbageif i could have awarded zero starsi would havei am going to stick to the breath brushers made by zukes pricierbut worth it to me
4,Positive,"I bought this for the girl in my life.  She really enjoyed experimenting with it.  I also bought her an additional sushi book  a few months before that but it didnt cover the same things as the manual did., which elaborates on techniques more fully, and we're happily getting into making our own sushi. I'm sure this in no way prepares you to become a professional sushi chef, but there's definitely some satisfaction in preparing this type of cuisine if you've never made it before. Everything's in the box, including a brief sushi cookbook, the rolling mats, and many of the basic ingredients that are difficult to find in supermarkets. The book could definitely be better, but for a few bucks, it is still worth it.",i bought this for the girl in my life  she really enjoyed experimenting with it  i also bought her an additional sushi book  a few months before that but it didnt cover the same things as the manual did which elaborates on techniques more fully and were happily getting into making our own sushi im sure this in no way prepares you to become a professional sushi chef but theres definitely some satisfaction in preparing this type of cuisine if youve never made it before everythings in the box including a brief sushi cookbook the rolling mats and many of the basic ingredients that are difficult to find in supermarkets the book could definitely be better but for a few bucks it is still worth it
5,Positive,These little crunches are so addictive! I bought them at Wholefood when they were on sale for $2.50 each at the store. Ever since I could not stop munching on these things. Who knew a little bit of seeds could go such a long way! Wow....,these little crunches are so addictive i bought them at wholefood when they were on sale for  each at the store ever since i could not stop munching on these things who knew a little bit of seeds could go such a long way wow
3,Neutral,"The flavor is labeled as fruit punch, and it bears a resemblance to Hi-C Fruit Punch, but not as sugary. With the recommended mixture, it tastes like watered-down Hi-C. If you add more, it tastes fruitier without becoming overly sweet. However, it doesn't taste very natural, again like Hi-C. There are no discernible fruit flavors. It's a vague sort of fruitiness, like Vitamin Water Zero.<br /><br />I also tried it with my SodaStream. The carbonation dulls taste buds, so the soda water needs a lot of syrup for full flavor.<br /><br />It claims to be an energy drink, but I didn't notice any boost in my energy.<br /><br />BOTTOM LINE: All in all, it's not bad, but it's not great. For people who dislike plain water, this makes it less boring without overwhelming you with fruit flavors or sugary sweetness. But if you need energy or something sweet, you should buy a can of soda-pop.<br /><br />SIDE NOTE: It was suggested to me that it might be okay for masking the off-flavors of cheap vodka. Not really my thing, but feel free to try.",the flavor is labeled as fruit punch and it bears a resemblance to hic fruit punch but not as sugary with the recommended mixture it tastes like watereddown hic if you add more it tastes fruitier without becoming overly sweet however it doesnt taste very natural again like hic there are no discernible fruit flavors its a vague sort of fruitiness like vitamin water zero  i also tried it with my sodastream the carbonation dulls taste buds so the soda water needs a lot of syrup for full flavor  it claims to be an energy drink but i didnt notice any boost in my energy  bottom line all in all its not bad but its not great for people who dislike plain water this makes it less boring without overwhelming you with fruit flavors or sugary sweetness but if you need energy or something sweet you should buy a can of sodapop  side note it was suggested to me that it might be okay for masking the offflavors of cheap vodka not really my thing but feel free to try
5,Positive,Good product for our pets. These are great for older dogs because they are low in fat & soft to chew. Price is also good,good product for our pets these are great for older dogs because they are low in fat  soft to chew price is also good
5,Positive,"My son loves these.  Easy, gluten free item to put in his lunch bag",my son loves these  easy gluten free item to put in his lunch bag
5,Positive,"This is a great substitute if you're vegetarian. The problem is, when it is stale, it's very hard to chew* (but still tastes good). When it is fresh, it is absolutely awesome. Stonewall's is my favorite brand of vegetarian jerkey. I like mild best, and teriyaki is my second favorite. Both of these flavors are safe if you avoid spicy stuff like I do. If you like things hot, try some of the other flavors!<br /><br />*Edit: Someone suggested heating in microwave for about 10 seconds to soften it, and that works beautifully!",this is a great substitute if youre vegetarian the problem is when it is stale its very hard to chew but still tastes good when it is fresh it is absolutely awesome stonewalls is my favorite brand of vegetarian jerkey i like mild best and teriyaki is my second favorite both of these flavors are safe if you avoid spicy stuff like i do if you like things hot try some of the other flavors  edit someone suggested heating in microwave for about  seconds to soften it and that works beautifully
5,Positive,"This is my favorite of all of the coffee and chicory products. It is strong, smooth tasting and not bitter. My friends, who are natives of New Orleans, introduced me to CDM coffee 20 years ago. It is difficult to find outside of Louisiana so I am thrilled to be able to purchase it through Amazon. For a real taste of New Orleans, you should try CDM coffee.",this is my favorite of all of the coffee and chicory products it is strong smooth tasting and not bitter my friends who are natives of new orleans introduced me to cdm coffee  years ago it is difficult to find outside of louisiana so i am thrilled to be able to purchase it through amazon for a real taste of new orleans you should try cdm coffee
5,Positive,This is by far the best chocolate milk i have ever had. Its so freaking GOOD.,this is by far the best chocolate milk i have ever had its so freaking good
5,Positive,"This coffee had all the rich flavor that I expect from a dark roast and minimal bitterness.  I suspect most folks are checking these reviews to find out if these weird cups actually work in a Keurig machine.  They do.  I had no issues.  The unexpected benefit was the great coffee aroma.  I love the Keurig system, but I miss the smell of coffee before it is prepared.  The aroma is back with these as soon as you open the plastic bag that they come in.  As much as I enjoyed the aroma, I felt compelled to store these things in another air-tight container, lest they lose their freshness. I also decided that I could not keep these cups in the rotary K-cup holder that we keep next to our machine.<br /><br />Despite storage issues, I would get these again for their flavor, aroma, and price.",this coffee had all the rich flavor that i expect from a dark roast and minimal bitterness  i suspect most folks are checking these reviews to find out if these weird cups actually work in a keurig machine  they do  i had no issues  the unexpected benefit was the great coffee aroma  i love the keurig system but i miss the smell of coffee before it is prepared  the aroma is back with these as soon as you open the plastic bag that they come in  as much as i enjoyed the aroma i felt compelled to store these things in another airtight container lest they lose their freshness i also decided that i could not keep these cups in the rotary kcup holder that we keep next to our machine  despite storage issues i would get these again for their flavor aroma and price
5,Positive,We adopted an adult mix last year who was in need of love and care.  His coat is now soft and shiny and the amount of waste he produces is significantly down from when he ate other food.  Well worth it to me.,we adopted an adult mix last year who was in need of love and care  his coat is now soft and shiny and the amount of waste he produces is significantly down from when he ate other food  well worth it to me
5,Positive,"I like this so much, I signed up for autoshipping every three months.  The 3-bag bulk package is much cheaper than buying the 7-oz. cups.  As a diabetic, I really enjoy having something sweet that does not spike my blood sugar.  I grew up loving black licorice.  (If it is not black, it is not licorice.)  Of course, like everything else sweetened with maltitol, it must be taken in moderation to avoid uncomfortable gas or a laxative effect.  Never eat it on an empty stomach, and be prepared to get this chewy candy stuck in your teeth.",i like this so much i signed up for autoshipping every three months  the bag bulk package is much cheaper than buying the oz cups  as a diabetic i really enjoy having something sweet that does not spike my blood sugar  i grew up loving black licorice  if it is not black it is not licorice  of course like everything else sweetened with maltitol it must be taken in moderation to avoid uncomfortable gas or a laxative effect  never eat it on an empty stomach and be prepared to get this chewy candy stuck in your teeth
